<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>
2020.04.02	09:03:25.365			5256.0	5.00000000
2020.04.02	09:03:25.647		5256.5		
2020.04.02	09:03:25.653		5256.0		
2020.04.02	09:03:25.758			5255.0	25.00000000
2020.04.02	09:03:25.758			5255.0	5.00000000
2020.04.02	09:03:25.758			5254.5	5.00000000
2020.04.02	09:03:25.758			5254.5	5.00000000
2020.04.02	09:03:25.758			5254.5	5.00000000
2020.04.02	09:03:25.763			5254.5	5.00000000
2020.04.02	09:03:25.765			5254.5	5.00000000
2020.04.02	09:03:25.765			5254.5	10.00000000
2020.04.02	09:03:25.766			5254.5	35.00000000
2020.04.02	09:03:26.037	5254.0			
2020.04.02	09:03:26.037		5254.5		
2020.04.02	09:03:26.038		5255.5		
2020.04.02	09:03:26.042		5255.0		
2020.04.02	09:03:26.135			5255.5	5.00000000
2020.04.02	09:03:26.135			5255.5	5.00000000
2020.04.02	09:03:26.410		5255.5		
2020.04.02	09:03:26.410		5256.0		
2020.04.02	09:03:26.411	5254.5			
2020.04.02	09:03:26.417		5255.5		
2020.04.02	09:03:26.791		5256.0		
2020.04.02	09:03:26.799		5255.5		
2020.04.02	09:03:27.478			5255.5	5.00000000
2020.04.02	09:03:27.479			5255.5	5.00000000
2020.04.02	09:03:27.554		5256.0		
2020.04.02	09:03:27.554	5255.5			
2020.04.02	09:03:27.554	5254.5			
2020.04.02	09:03:27.932	5255.0			
2020.04.02	09:03:28.427			5256.0	5.00000000
2020.04.02	09:03:30.216	5255.5			
2020.04.02	09:03:31.453			5256.0	5.00000000
2020.04.02	09:03:31.453			5256.0	5.00000000
2020.04.02	09:03:31.608			5257.0	5.00000000
2020.04.02	09:03:31.731		5256.5		
2020.04.02	09:03:31.731	5256.0			
2020.04.02	09:03:31.731		5257.0		
2020.04.02	09:03:32.436			5257.0	5.00000000
2020.04.02	09:03:32.491	5256.5			
2020.04.02	09:03:32.491		5257.5		
2020.04.02	09:03:32.491	5256.0			
2020.04.02	09:03:32.496		5257.0		
2020.04.02	09:03:32.867		5257.5		
2020.04.02	09:03:32.872		5257.0		
2020.04.02	09:03:33.248		5257.5		
2020.04.02	09:03:33.250		5257.0		
2020.04.02	09:03:34.591			5257.0	5.00000000
2020.04.02	09:03:34.608			5257.0	5.00000000
2020.04.02	09:03:34.770		5257.5		
2020.04.02	09:03:34.773		5257.0		
2020.04.02	09:03:35.149		5257.5		
2020.04.02	09:03:35.152		5257.0		
2020.04.02	09:03:35.912		5257.5		
2020.04.02	09:03:35.913		5257.0		
2020.04.02	09:03:35.915	5255.5			
2020.04.02	09:03:35.915		5256.0		
2020.04.02	09:03:35.917		5256.5		
2020.04.02	09:03:35.926			5256.0	40.00000000
